,TIME_STAMP,song_ID,song_Name,artist,album,album_name,popularity,explicit
36,2023-06-12T14:35:55.260Z,4ftSB15eM3yGYXmzJpGMaw,LSD,Will Sparks,6YmuEgnSWmYvgmWUkOKUmp,LSD,63,False
37,2023-06-12T14:24:16.980Z,08HCALU6WZhiFXyTsl7PE8,All Eyes On Me,Fox Stevenson,461zOSbTIUM5dXoZw5lSui,All Eyes On Me,52,False
38,2023-06-12T14:21:19.976Z,45uyw9LDcrBxZRTWSQeess,Love Sex Magic - Macky Gee Remix,RUDY,1GK6TAzyPzMo5u2ALE2MUQ,Love Sex Magic (Macky Gee Remix),40,False
39,2023-06-12T14:18:02.924Z,60VNy4PpJvBZxL3fztmU3t,Yellow Ferrari,The Toxic Avenger,0vSQUrgafUyXCBaDiReL4q,"Globe, Vol. 3",49,False
40,2023-06-12T14:13:35.828Z,0kLrrh7Z1gySNTunBH790J,Sometimes,Miami Horror,37oEeZfUpmbYlJnORF36Zk,Illumination,59,False
41,2023-06-12T14:09:25.994Z,63PEsIWyy3QgiPy4u5I9pG,Marijuana,Chrome Sparks,2SDRefKHEIs8bWDACXPuVr,Sparks,58,False
42,2023-06-12T14:06:28.963Z,4GRMPDD3V6rM2BlmRdYCUJ,Pulsar,Kavinsky,2Js9F9O6V6mDZTal95Iner,Reborn,43,False
43,2023-06-12T14:02:58.890Z,0tXzxt3aJcfKu9L5i7tgfK,Renegade,Kavinsky,2Js9F9O6V6mDZTal95Iner,Reborn,53,False
44,2023-06-12T13:59:29.897Z,1iURtIUJ6mvLemgdArD3PD,Too Many Questions,Frustration,6DWbp9fsVHF2gQUQH8la0x,Relax,23,True
45,2023-06-12T13:55:55.976Z,6WLKS4RJLn81iL8PI1qcbH,The Beginning,Dirty Art Club,6CUm96j4cY7AFvquKN7XOq,Heavy Starch,37,False
46,2023-06-12T13:54:17.984Z,16WSFIgiBLm8y0FZIYjgpS,Adieu,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,41,False
47,2023-06-12T13:34:42.913Z,16WSFIgiBLm8y0FZIYjgpS,Adieu,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,41,False
48,2023-06-12T13:15:43.912Z,5XFktAerFHxM4tp7EhzTrh,Lost,RSCL,1QaaHgza1m23gXfowZ8ZHS,Lost,71,False
49,2023-06-12T13:11:09.905Z,1iURtIUJ6mvLemgdArD3PD,Too Many Questions,Frustration,6DWbp9fsVHF2gQUQH8la0x,Relax,23,True
