,TIME_STAMP,song_ID,song_Name,artist,album,album_name,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
40,2023-06-14T07:34:28.063Z,26HQt3tNOagBa4Av5lftP2,Sundown,Nic D,7GTqzcYBdaT6Ify2iHtcay,Sundown,70,False,0.855,0.485,-7.833,0.0686,0.158,0.0,0.132,0.59,120.106
41,2023-06-14T07:32:18.197Z,26HQt3tNOagBa4Av5lftP2,Sundown,Nic D,7GTqzcYBdaT6Ify2iHtcay,Sundown,70,False,0.855,0.485,-7.833,0.0686,0.158,0.0,0.132,0.59,120.106
42,2023-06-14T05:50:41.446Z,54Hw7R909mkcRNpqW2VnaD,A Catalogue of Afternoons,Max Richter,1rTHmwhZwhhvivx3pdXXdo,The Blue Notebooks (15 Years),55,False,0.124,0.0924,-31.726,0.0412,0.996,0.848,0.0935,0.135,205.999
43,2023-06-14T05:40:06.351Z,26HQt3tNOagBa4Av5lftP2,Sundown,Nic D,7GTqzcYBdaT6Ify2iHtcay,Sundown,70,False,0.855,0.485,-7.833,0.0686,0.158,0.0,0.132,0.59,120.106
44,2023-06-13T10:23:57.047Z,20vEB3It4xYzKHlMecu6X1,Table For Two,Abel Korzeniowski,3i5Qw5hFvhY9Zms1gPVVkW,Nocturnal Animals (Original Motion Picture Soundtrack),60,False,0.199,0.133,-15.992,0.0379,0.914,0.868,0.278,0.0388,132.028
45,2023-06-13T10:12:57.636Z,6cQqoq2uw0BGT7ShmNnYG4,Fragments Found,Fabrizio Paterlini,39LWVcWN0HG7SF27UiuW9b,Fragments Found,45,False,0.247,0.253,-18.922,0.0378,0.963,0.819,0.09,0.161,73.453
46,2023-06-13T10:10:11.320Z,54Hw7R909mkcRNpqW2VnaD,A Catalogue of Afternoons,Max Richter,1rTHmwhZwhhvivx3pdXXdo,The Blue Notebooks (15 Years),55,False,0.124,0.0924,-31.726,0.0412,0.996,0.848,0.0935,0.135,205.999
47,2023-06-13T10:08:20.022Z,3YalaPTUkyCYanwIf0l4UN,Toulumne,Eddie Vedder,13xlpKbai3GGoMSr75lOeX,Into The Wild (Music For The Motion Picture),56,False,0.337,0.287,-15.051,0.0332,0.898,0.978,0.12,0.393,107.031
48,2023-06-13T10:07:19.507Z,3WFXFNuD051IrH354xnHRr,Three Women - Instrumental,Rachel Portman,1fs5PH1L35fEbG2csJT3AD,Chocolat (Original Motion Picture Soundtrack),50,False,0.48,0.0091,-29.184,0.0356,0.992,0.848,0.0814,0.197,85.105
49,2023-06-13T10:06:16.700Z,7gbSDq9luQx6yVl7HyJGIW,Dismantle,Peter Sandberg,6TsyjKCVz1FlcjwglzzbT9,Dismantle,65,False,0.399,0.136,-20.219,0.0307,0.985,0.895,0.156,0.396,100.195
